<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,150403,536.25,536.25,536.25,536.25,0
WC,150406,528.50,528.50,527.75,527.75,53328
WC,150407,526.00,527.75,526.00,526.00,81410
WC,150408,526.75,526.75,526.25,526.25,91366
WC,150409,519.00,526.25,518.75,518.75,92579
WC,150410,526.00,526.50,518.75,526.50,97676
WC,150413,502.25,526.50,501.50,502.25,105802
WC,150414,502.25,502.25,497.00,497.00,105802
WC,150415,496.50,496.50,489.00,489.00,92120
WC,150416,490.75,491.00,490.50,490.75,81458
WC,150417,488.75,490.75,488.00,489.25,81458
WC,150420,489.25,498.25,489.25,498.25,76522
WC,150421,501.00,503.50,499.00,500.25,77070
WC,150422,500.25,500.25,499.00,499.00,77070
WC,150423,502.50,504.50,501.25,501.25,58372
WC,150424,491.75,491.75,488.50,488.50,67960
WC,150427,486.75,486.75,473.00,473.25,79261
WC,150428,468.50,476.50,468.50,476.25,91270
WC,150429,484.00,484.00,483.50,483.50,91270
WC,150430,473.50,474.00,473.25,474.00,75114
WC,150501,474.00,474.00,473.50,474.00,75114
WC,150504,473.00,474.00,472.75,472.75,49721
WC,150505,466.50,472.75,466.50,466.50,52989
WC,150506,466.50,479.25,466.50,479.25,74679
WC,150507,473.00,473.00,472.75,472.75,74679
WC,150508,476.00,482.00,476.00,481.50,59418
WC,150511,481.50,481.50,481.00,481.00,50515
WC,150512,481.00,481.00,480.50,480.50,104183
WC,150513,486.00,486.00,481.50,481.50,104183
WC,150514,501.50,515.00,501.50,514.25,147584
WC,150515,510.50,514.25,509.75,511.00,147584
WC,150518,526.50,528.50,521.75,521.75,96766
WC,150519,513.00,513.00,507.25,510.25,89702
WC,150520,506.00,513.50,506.00,513.00,84320
WC,150521,517.50,522.00,517.50,522.00,91976
WC,150522,514.50,516.00,514.50,515.25,91976
WC,150525,515.25,515.25,515.25,515.25,0
WC,150526,506.75,506.75,492.75,493.50,102712
WC,150527,487.50,493.50,487.50,487.75,103568
WC,150528,488.75,488.75,486.50,488.75,103568
WC,150529,476.00,478.00,476.00,477.00,81444
WC,150601,495.00,495.00,493.25,493.75,90078
WC,150602,497.75,512.50,497.75,512.50,96582
WC,150603,518.25,518.25,509.00,510.75,116592
WC,150604,513.00,523.75,513.00,523.75,116592
WC,150605,518.00,523.75,517.00,517.00,145062
WC,150608,517.00,528.00,517.00,528.00,145062
WC,150609,532.50,532.50,528.00,532.25,113552
WC,150610,536.50,536.50,512.50,513.50,154342
WC,150611,503.00,504.25,502.50,504.25,154342
WC,150612,503.00,503.75,503.00,503.75,96999
WC,150615,489.50,489.50,488.50,489.25,85937
WC,150616,489.75,489.75,488.50,488.75,85937
WC,150617,493.75,493.75,491.25,491.25,70462
WC,150618,488.00,488.00,488.00,488.00,70462
